城市,日期,新增确诊,新增治愈,新增死亡
七台河,2020-01-26,1,0,0
七台河,2020-01-27,1,0,0
七台河,2020-01-30,1,0,0
七台河,2020-01-31,2,0,0
七台河,2020-02-01,1,0,0
七台河,2020-02-02,1,0,0
七台河,2020-02-03,1,0,0
七台河,2020-02-04,1,0,0
七台河,2020-02-06,1,0,0
七台河,2020-02-07,1,0,0
七台河,2020-02-08,2,0,0
七台河,2020-02-09,1,0,0
七台河,2020-02-10,1,0,0
七台河,2020-02-12,1,0,0
七台河,2020-02-13,0,1,0
七台河,2020-02-15,0,3,0
七台河,2020-02-17,1,0,0
七台河,2020-02-18,0,2,0
七台河,2020-02-22,0,3,0
七台河,2020-02-23,0,1,0
七台河,2020-02-25,0,1,0
七台河,2020-02-26,0,1,0
七台河,2020-02-27,0,1,0
七台河,2020-03-04,0,1,0
七台河,2020-03-05,0,1,0
七台河,2020-03-06,0,1,0
七台河,2020-03-14,0,1,0
万宁,2020-01-22,1,0,0
万宁,2020-01-23,1,0,0
万宁,2020-01-24,3,0,0
万宁,2020-01-26,2,0,0
万宁,2020-01-28,1,0,0
万宁,2020-02-03,3,0,0
万宁,2020-02-07,1,0,0
万宁,2020-02-10,1,0,0
万宁,2020-02-12,0,1,0
万宁,2020-02-14,0,2,0
万宁,2020-02-16,0,1,0
万宁,2020-02-18,0,5,0
万宁,2020-02-24,0,2,0
万宁,2020-02-27,0,1,0
万宁,2020-03-04,0,1,0
万州区,2020-01-21,2,0,0
万州区,2020-01-23,1,0,0
万州区,2020-01-24,7,0,0
万州区,2020-01-25,3,0,0
万州区,2020-01-26,1,0,0
万州区,2020-01-27,1,0,0
万州区,2020-01-28,2,0,0
万州区,2020-01-29,7,0,0
万州区,2020-01-30,4,0,0
万州区,2020-01-31,5,0,0
万州区,2020-02-01,6,0,0
万州区,2020-02-02,10,0,1
万州区,2020-02-03,7,0,0
万州区,2020-02-04,9,1,0
万州区,2020-02-05,3,1,0
万州区,2020-02-06,5,0,0
万州区,2020-02-07,5,2,0
万州区,2020-02-08,6,1,0
万州区,2020-02-09,13,3,0
万州区,2020-02-10,1,3,0
万州区,2020-02-11,3,3,0
万州区,2020-02-12,2,2,0
万州区,2020-02-13,0,7,1
万州区,2020-02-14,1,4,1
万州区,2020-02-15,1,7,0
万州区,2020-02-16,3,1,0
万州区,2020-02-17,0,1,0
万州区,2020-02-18,2,5,0
万州区,2020-02-19,3,5,0
万州区,2020-02-20,2,10,1
万州区,2020-02-21,3,9,0
万州区,2020-02-22,0,1,0
万州区,2020-02-24,0,6,0
万州区,2020-02-25,0,3,0
万州区,2020-02-26,0,4,0
万州区,2020-02-27,0,2,0
万州区,2020-02-28,0,3,0
万州区,2020-02-29,0,3,0
万州区,2020-03-01,0,2,0
万州区,2020-03-02,0,9,0
万州区,2020-03-03,0,5,0
万州区,2020-03-04,0,3,0
万州区,2020-03-06,0,2,0
万州区,2020-03-07,0,1,0
万州区,2020-03-09,0,2,0
万州区,2020-03-10,0,1,0
万州区,2020-03-11,0,2,0
万盛经开区,2020-02-06,1,0,0
万盛经开区,2020-02-29,0,1,0
三亚,2020-01-22,1,0,0
三亚,2020-01-23,1,0,0
三亚,2020-01-24,3,0,0
三亚,2020-01-25,3,0,0
三亚,2020-01-26,2,0,0
三亚,2020-01-27,4,0,0
三亚,2020-01-29,0,1,0
三亚,2020-01-31,1,0,0
三亚,2020-02-01,2,0,0
三亚,2020-02-02,0,3,0
三亚,2020-02-03,1,0,0
三亚,2020-02-04,4,0,0
三亚,2020-02-05,8,1,0
三亚,2020-02-06,2,1,1
三亚,2020-02-07,5,3,0
三亚,2020-02-08,3,1,0
三亚,2020-02-09,1,1,0
三亚,2020-02-10,4,0,0
三亚,2020-02-11,1,0,0
三亚,2020-02-12,8,0,0
三亚,2020-02-13,0,3,0
三亚,2020-02-14,0,1,0
三亚,2020-02-18,0,7,0
三亚,2020-02-20,0,3,0
三亚,2020-02-21,0,5,0
三亚,2020-02-22,0,3,0
三亚,2020-02-24,0,6,0
三亚,2020-02-25,0,1,0
三亚,2020-02-26,0,4,0
三亚,2020-02-29,0,7,0
三亚,2020-03-03,0,1,0
三亚,2020-03-04,0,1,0
三明,2020-01-25,1,0,0
三明,2020-01-26,3,0,0
三明,2020-01-28,4,0,0
三明,2020-01-29,2,0,0
三明,2020-02-01,1,0,0
三明,2020-02-06,1,0,0
三明,2020-02-08,1,1,0
三明,2020-02-14,0,2,0
三明,2020-02-16,1,0,0
三明,2020-02-19,0,2,0
三明,2020-02-25,0,3,0
三明,2020-02-28,0,4,0
三明,2020-03-05,0,2,0
三门峡,2020-01-22,1,0,0
三门峡,2020-01-25,1,0,0
三门峡,2020-01-26,1,0,0
三门峡,2020-01-28,1,0,0
三门峡,2020-01-29,1,0,0
三门峡,2020-01-30,1,0,0
三门峡,2020-01-31,1,0,0
三门峡,2020-02-01,0,1,0
三门峡,2020-02-19,0,1,0
三门峡,2020-02-20,0,5,0
上海-境外输入,2020-03-05,1,0,0
上海-境外输入,2020-03-06,3,0,0
上海-境外输入,2020-03-10,2,0,0
上海-境外输入,2020-03-12,2,0,0
上海-境外输入,2020-03-13,4,0,0
上海-境外输入,2020-03-14,3,0,0
上海-境外输入,2020-03-15,2,0,0
上海-境外输入,2020-03-16,3,0,0
上海-境外输入,2020-03-17,3,0,0
上海-境外输入,2020-03-18,2,1,0
上海-境外输入,2020-03-19,8,0,0
上海-境外输入,2020-03-20,9,0,0
上海-境外输入,2020-03-21,14,0,0
上海-境外输入,2020-03-22,10,0,0
上海-境外输入,2020-03-23,9,1,0
上海-境外输入,2020-03-24,19,1,0
上海-境外输入,2020-03-25,18,0,0
上海-境外输入,2020-03-26,17,1,0
上海-境外输入,2020-03-27,17,3,0
上海-境外输入,2020-03-28,7,0,0
上海-境外输入,2020-03-29,6,0,0
上海-境外输入,2020-03-30,11,4,0
上海-境外输入,2020-03-31,7,3,0
上海-境外输入,2020-04-01,6,2,0
上海-境外输入,2020-04-02,4,0,0
上海-境外输入,2020-04-03,3,5,0
上海-境外输入,2020-04-04,2,8,0
上海-境外输入,2020-04-05,5,26,0
上海-境外输入,2020-04-06,2,6,0
上海-境外输入,2020-04-07,5,17,0
上海-境外输入,2020-04-08,9,11,0
上海-境外输入,2020-04-09,3,5,0
上海-境外输入,2020-04-10,0,13,0
上海-境外输入,2020-04-11,52,3,0
上海-境外输入,2020-04-12,11,8,0
上海-境外输入,2020-04-13,0,12,0
上海-境外输入,2020-04-14,4,10,0
上海-境外输入,2020-04-15,6,15,0
上海-境外输入,2020-04-16,0,4,0
上海-境外输入,2020-04-17,0,22,0
上海-境外输入,2020-04-18,7,4,0
上海-境外输入,2020-04-19,3,5,0
上海-境外输入,2020-04-20,0,9,0
上海-境外输入,2020-04-21,1,0,0
上海-境外输入,2020-04-22,1,2,0
上海-境外输入,2020-04-23,1,1,0
上海-境外输入,2020-04-24,0,14,0
上海-境外输入,2020-04-25,1,11,0
上海-境外输入,2020-04-26,0,10,0
上海-境外输入,2020-04-27,2,13,0
上海-境外输入,2020-04-28,1,3,0
上海-境外输入,2020-04-29,2,13,0
上海-境外输入,2020-04-30,5,2,0
上海-境外输入,2020-05-01,0,13,0
上海-境外输入,2020-05-02,1,0,0
上海-境外输入,2020-05-03,2,2,0
上海-境外输入,2020-05-04,1,4,0
上海-境外输入,2020-05-05,0,1,0
上海-境外输入,2020-05-06,1,0,0
上海-境外输入,2020-05-07,0,3,0
上海-境外输入,2020-05-09,2,3,0
上海-境外输入,2020-05-10,0,1,0
上海-境外输入,2020-05-12,1,4,0
上海-境外输入,2020-05-13,0,2,0
上海-境外输入,2020-05-14,0,5,0
上海-境外输入,2020-05-15,5,2,0
上海-境外输入,2020-05-16,0,1,0
上海-境外输入,2020-05-19,0,1,0
上海-境外输入,2020-05-20,0,3,0
上海-境外输入,2020-05-21,0,1,0
上海-境外输入,2020-05-22,0,1,0
上海-境外输入,2020-05-23,1,0,0
上海-境外输入,2020-05-24,0,1,0
上海-境外输入,2020-05-25,1,4,0
上海-境外输入,2020-05-26,1,1,0
上海-境外输入,2020-05-27,1,1,0
上海-境外输入,2020-05-29,1,2,0
上海-境外输入,2020-06-01,1,2,0
上海-境外输入,2020-06-02,0,1,0
上海-境外输入,2020-06-04,4,1,0
上海-境外输入,2020-06-05,0,1,0
上海-境外输入,2020-06-06,0,1,0
上海-境外输入,2020-06-07,1,0,0
上海-境外输入,2020-06-09,0,1,0
上海-境外输入,2020-06-10,6,0,0
上海-境外输入,2020-06-11,5,1,0
上海-境外输入,2020-06-12,1,0,0
上海-境外输入,2020-06-13,1,0,0
上海-境外输入,2020-06-14,1,1,0
上海-境外输入,2020-06-15,3,0,0
上海-境外输入,2020-06-17,2,1,0
上海-境外输入,2020-06-19,1,0,0
上海-境外输入,2020-06-21,3,0,0
上海-境外输入,2020-06-22,0,1,0
上海-境外输入,2020-06-23,2,0,0
上海-境外输入,2020-06-24,0,1,0
上海-境外输入,2020-06-25,2,2,0
上海-境外输入,2020-06-26,1,2,0
上海-境外输入,2020-06-27,1,1,0
上海-境外输入,2020-06-28,1,0,0
上海-境外输入,2020-06-29,4,0,0
上饶,2020-01-24,2,0,0
上饶,2020-01-25,4,0,0
上饶,2020-01-27,1,0,0
上饶,2020-01-28,2,0,0
上饶,2020-01-29,2,0,0
上饶,2020-01-30,1,1,0
上饶,2020-01-31,4,0,0
上饶,2020-02-01,3,0,0
上饶,2020-02-02,13,3,0
上饶,2020-02-03,18,0,0
上饶,2020-02-04,19,1,0
上饶,2020-02-05,9,0,0
上饶,2020-02-06,8,0,0
上饶,2020-02-07,6,0,0
上饶,2020-02-08,6,2,0
上饶,2020-02-09,5,5,0
上饶,2020-02-10,8,1,0
上饶,2020-02-11,5,2,0
上饶,2020-02-12,3,2,0
上饶,2020-02-13,3,1,0
上饶,2020-02-14,1,2,0
上饶,2020-02-15,0,11,0
上饶,2020-02-16,0,4,0
上饶,2020-02-17,0,4,0
上饶,2020-02-18,0,8,0
上饶,2020-02-19,0,8,0
上饶,2020-02-20,0,9,0
上饶,2020-02-21,0,11,0
上饶,2020-02-22,0,13,0
上饶,2020-02-23,0,2,0
上饶,2020-02-24,0,7,0
上饶,2020-02-25,0,4,0
上饶,2020-02-27,0,8,0
上饶,2020-02-28,0,2,0
上饶,2020-03-01,0,5,0
上饶,2020-03-02,0,4,0
上饶,2020-03-03,0,1,0
