,日期,城市,新增确诊,新增治愈,新增死亡,累计确诊人数,累计治愈人数,累计死亡人数
0,2020-01-10,武汉,41,2,1,41,2,1
1,2020-01-11,武汉,0,4,0,41,6,1
2,2020-01-12,武汉,0,1,0,41,7,1
3,2020-01-15,武汉,0,5,1,41,12,2
4,2020-01-16,武汉,4,3,0,45,15,2
5,2020-01-17,武汉,17,4,0,62,19,2
6,2020-01-18,武汉,59,5,1,121,24,3
7,2020-01-19,大兴区,2,0,0,2,0,0
8,2020-01-19,深圳,1,0,0,1,0,0
9,2020-01-19,武汉,77,1,1,198,25,4
10,2020-01-20,昌平区,2,0,0,2,0,0
11,2020-01-20,杭州,1,0,0,1,0,0
12,2020-01-20,黄冈,12,0,0,12,0,0
13,2020-01-20,惠州,1,0,0,1,0,0
14,2020-01-20,深圳,8,0,0,9,0,0
15,2020-01-20,台州,1,0,0,1,0,0
16,2020-01-20,外地来沪,1,0,0,1,0,0
17,2020-01-20,外地来京,1,0,0,1,0,0
18,2020-01-20,温州,2,0,0,2,0,0
19,2020-01-20,武汉,60,0,2,258,25,6
20,2020-01-20,湛江,1,0,0,1,0,0
21,2020-01-20,舟山,1,0,0,1,0,0
22,2020-01-20,珠海,3,0,0,3,0,0
23,2020-01-21,成都,1,0,0,1,0,0
24,2020-01-21,垫江县,1,0,0,1,0,0
25,2020-01-21,丰台区,1,0,0,1,0,0
26,2020-01-21,佛山,1,0,0,1,0,0
27,2020-01-21,抚州,1,0,0,1,0,0
28,2020-01-21,广安,1,0,0,1,0,0
29,2020-01-21,广州,2,0,0,2,0,0
30,2020-01-21,海淀区,2,0,0,2,0,0
31,2020-01-21,合肥,1,0,0,1,0,0
32,2020-01-21,河东区,1,0,0,1,0,0
33,2020-01-21,昆明,1,0,0,1,0,0
34,2020-01-21,宁波,3,0,0,3,0,0
35,2020-01-21,萍乡,1,0,0,1,0,0
36,2020-01-21,青岛,1,0,0,1,0,0
37,2020-01-21,韶关,2,0,0,2,0,0
38,2020-01-21,深圳,5,0,0,14,0,0
39,2020-01-21,台湾,1,0,0,1,0,0
40,2020-01-21,通州区,1,0,0,1,0,0
41,2020-01-21,万州区,2,0,0,2,0,0
42,2020-01-21,威海,1,0,0,1,0,0
43,2020-01-21,温州,2,0,0,4,0,0
44,2020-01-21,巫山县,2,0,0,2,0,0
45,2020-01-21,武汉,105,3,3,363,28,9
46,2020-01-21,西城区,1,0,0,1,0,0
47,2020-01-21,西青区,1,0,0,1,0,0
48,2020-01-21,银川,1,0,0,1,0,0
49,2020-01-21,湛江,1,0,0,2,0,0
50,2020-01-21,长沙,1,0,0,1,0,0
51,2020-01-21,长寿区,1,0,0,1,0,0
52,2020-01-21,郑州,1,0,0,1,0,0
53,2020-01-21,珠海,1,0,0,4,0,0
54,2020-01-22,澳门,1,0,0,1,0,0
55,2020-01-22,白银,1,0,0,1,0,0
56,2020-01-22,北海,3,0,0,3,0,0
57,2020-01-22,亳州,1,0,0,1,0,0
58,2020-01-22,朝阳区,1,0,0,1,0,0
59,2020-01-22,郴州,1,0,0,1,0,0
60,2020-01-22,成都,3,0,0,4,0,0
61,2020-01-22,滁州,1,0,0,1,0,0
62,2020-01-22,达州,1,0,0,1,0,0
63,2020-01-22,大连,1,0,0,1,0,0
64,2020-01-22,涪陵区,1,0,0,1,0,0
65,2020-01-22,福州,1,0,0,1,0,0
66,2020-01-22,阜阳,1,0,0,1,0,0
67,2020-01-22,广州,3,0,0,5,0,0
68,2020-01-22,贵阳,1,0,0,1,0,0
69,2020-01-22,哈尔滨,1,0,0,1,0,0
70,2020-01-22,海口,1,0,0,1,0,0
71,2020-01-22,杭州,5,0,0,6,0,0
72,2020-01-22,合肥,4,0,0,5,0,0
73,2020-01-22,和平区,1,0,0,1,0,0
74,2020-01-22,怀化,3,0,0,3,0,0
75,2020-01-22,金华,1,0,0,1,0,0
76,2020-01-22,荆门,1,0,0,1,0,0
77,2020-01-22,荆州,6,0,0,6,0,0
78,2020-01-22,兰州,1,0,0,1,0,0
79,2020-01-22,临高,1,0,0,1,0,0
80,2020-01-22,临沂,2,0,0,2,0,0
81,2020-01-22,柳州,1,0,0,1,0,0
82,2020-01-22,六安,1,0,0,1,0,0
83,2020-01-22,洛阳,1,0,0,1,0,0
84,2020-01-22,绵阳,2,0,0,2,0,0
85,2020-01-22,牡丹江,1,0,0,1,0,0
86,2020-01-22,南昌,1,0,0,1,0,0
87,2020-01-22,南开区,1,0,0,1,0,0
88,2020-01-22,宁波,2,0,0,5,0,0
89,2020-01-22,黔南州,1,0,0,1,0,0
90,2020-01-22,青岛,2,0,0,3,0,0
91,2020-01-22,衢州,1,0,0,1,0,0
92,2020-01-22,三门峡,1,0,0,1,0,0
93,2020-01-22,三亚,1,0,0,1,0,0
94,2020-01-22,绍兴,1,0,0,1,0,0
95,2020-01-22,深圳,1,0,0,15,0,0
96,2020-01-22,沈阳,1,0,0,1,0,0
97,2020-01-22,石家庄,1,0,0,1,0,0
98,2020-01-22,石景山区,1,0,0,1,0,0
99,2020-01-22,苏州,1,0,0,1,0,0
100,2020-01-22,台州,5,0,0,6,0,0
101,2020-01-22,太原,1,0,0,1,0,0
102,2020-01-22,铜仁,1,0,0,1,0,0
103,2020-01-22,外地来京,1,0,0,2,0,0
104,2020-01-22,万宁,1,0,0,1,0,0
105,2020-01-22,温州,2,1,0,6,1,0
106,2020-01-22,梧州,1,0,0,1,0,0
107,2020-01-22,武汉,62,0,8,425,28,17
108,2020-01-22,西安,2,0,0,2,0,0
109,2020-01-22,西城区,1,0,0,2,0,0
110,2020-01-22,咸阳,1,0,0,1,0,0
111,2020-01-22,香港,1,0,0,1,0,0
112,2020-01-22,永川区,2,0,0,2,0,0
113,2020-01-22,永州,1,0,0,1,0,0
114,2020-01-22,长春,1,0,0,1,0,0
115,2020-01-22,长沙,3,0,0,4,0,0
116,2020-01-22,肇庆,1,0,0,1,0,0
117,2020-01-22,郑州,2,0,0,3,0,0
118,2020-01-22,中山,1,0,0,1,0,0
119,2020-01-23,安康,1,0,0,1,0,0
120,2020-01-23,安庆,1,0,0,1,0,0
121,2020-01-23,澳门,1,0,0,2,0,0
122,2020-01-23,百色,1,0,0,1,0,0
123,2020-01-23,蚌埠,1,0,0,1,0,0
124,2020-01-23,北海,3,0,0,6,0,0
125,2020-01-23,沧州,1,0,1,1,0,1
126,2020-01-23,朝阳区,2,0,0,3,0,0
127,2020-01-23,朝阳市,1,0,0,1,0,0
128,2020-01-23,成都,3,0,0,7,0,0
129,2020-01-23,池州,1,0,0,1,0,0
130,2020-01-23,大渡口区,1,0,0,1,0,0
131,2020-01-23,大庆,1,0,0,1,0,0
