省份,日期,新增确诊,新增治愈,新增死亡,累计确诊人数,累计治愈人数,累计死亡人数
湖北,2020-01-10,41,2,1,41,2,1
湖北,2020-01-11,0,4,0,41,6,1
湖北,2020-01-12,0,1,0,41,7,1
湖北,2020-01-15,0,5,1,41,12,2
湖北,2020-01-16,4,3,0,45,15,2
湖北,2020-01-17,17,4,0,62,19,2
湖北,2020-01-18,59,5,1,121,24,3
湖北,2020-01-19,77,1,1,198,25,4
湖北,2020-01-20,60,0,2,258,25,6
湖北,2020-01-21,105,3,3,363,28,9
湖北,2020-01-22,62,0,8,425,28,17
湖北,2020-01-23,70,3,6,495,31,23
湖北,2020-01-24,77,1,15,572,32,38
湖北,2020-01-25,46,8,7,618,40,45
湖北,2020-01-26,80,2,18,698,42,63
湖北,2020-01-27,892,0,22,1590,42,85
湖北,2020-01-28,315,0,19,1905,42,104
湖北,2020-01-29,356,7,25,2261,49,129
湖北,2020-01-30,378,21,30,2639,70,159
湖北,2020-01-31,576,36,33,3215,106,192
湖北,2020-02-01,894,32,32,4109,138,224
湖北,2020-02-02,1033,53,41,5142,191,265
湖北,2020-02-03,1242,79,48,6384,270,313
湖北,2020-02-04,1967,65,49,8351,335,362
湖北,2020-02-05,1766,63,52,10117,398,414
湖北,2020-02-06,1501,103,64,11618,501,478
湖北,2020-02-07,1985,164,67,13603,665,545
湖北,2020-02-08,1379,179,63,14982,844,608
湖北,2020-02-09,1920,167,73,16902,1011,681
湖北,2020-02-10,1552,162,67,18454,1173,748
湖北,2020-02-11,1104,171,72,19558,1344,820
湖北,2020-02-12,12523,538,108,32081,1882,928
湖北,2020-02-13,3910,370,88,35991,2252,1016
湖北,2020-02-14,1923,486,107,37914,2738,1123
湖北,2020-02-15,1548,413,110,39462,3151,1233
湖北,2020-02-16,1690,543,76,41152,3694,1309
湖北,2020-02-17,1600,761,72,42752,4455,1381
湖北,2020-02-18,1660,676,116,44412,5131,1497
湖北,2020-02-19,640,553,88,45052,5684,1585
湖北,2020-02-20,319,766,99,45371,6450,1684
