,省份,日期,住院人数
0,湖北,2020-01-10,38
1,湖北,2020-01-11,34
2,湖北,2020-01-12,33
3,湖北,2020-01-15,27
4,湖北,2020-01-16,28
5,湖北,2020-01-17,41
6,湖北,2020-01-18,94
7,湖北,2020-01-19,169
8,湖北,2020-01-20,227
9,湖北,2020-01-21,326
10,湖北,2020-01-22,380
11,湖北,2020-01-23,441
12,湖北,2020-01-24,502
13,湖北,2020-01-25,533
14,湖北,2020-01-26,593
15,湖北,2020-01-27,1463
16,湖北,2020-01-28,1759
17,湖北,2020-01-29,2083
18,湖北,2020-01-30,2410
19,湖北,2020-01-31,2917
20,湖北,2020-02-01,3747
21,湖北,2020-02-02,4686
22,湖北,2020-02-03,5801
23,湖北,2020-02-04,7654
24,湖北,2020-02-05,9305
25,湖北,2020-02-06,10639
26,湖北,2020-02-07,12393
27,湖北,2020-02-08,13530
28,湖北,2020-02-09,15210
29,湖北,2020-02-10,16533
30,湖北,2020-02-11,17394
31,湖北,2020-02-12,29271
32,湖北,2020-02-13,32723
33,湖北,2020-02-14,34053
34,湖北,2020-02-15,35078
35,湖北,2020-02-16,36149
36,湖北,2020-02-17,36916
37,湖北,2020-02-18,37784
38,湖北,2020-02-19,37783
39,湖北,2020-02-20,37237
40,湖北,2020-02-21,36470
41,湖北,2020-02-22,35996
42,湖北,2020-02-23,35441
43,湖北,2020-02-24,34458
44,湖北,2020-02-25,33330
45,湖北,2020-02-26,32159
46,湖北,2020-02-27,29946
47,湖北,2020-02-28,28603
48,湖北,2020-02-29,27467
49,湖北,2020-03-01,25670
50,湖北,2020-03-02,23911
51,湖北,2020-03-03,22135
52,湖北,2020-03-04,20817
53,湖北,2020-03-05,19882
54,湖北,2020-03-06,18778
55,湖北,2020-03-07,17539
56,湖北,2020-03-08,16394
57,湖北,2020-03-09,15499
58,湖北,2020-03-10,14291
59,湖北,2020-03-11,13239
60,湖北,2020-03-12,12135
61,湖北,2020-03-13,10875
62,湖北,2020-03-14,9758
63,湖北,2020-03-15,8997
64,湖北,2020-03-16,8151
65,湖北,2020-03-17,7342
66,湖北,2020-03-18,6623
67,湖北,2020-03-19,6001
68,湖北,2020-03-20,5493
69,湖北,2020-03-21,5026
70,湖北,2020-03-22,4583
71,湖北,2020-03-23,4151
72,湖北,2020-03-24,3777
73,湖北,2020-03-25,3455
74,湖北,2020-03-26,2928
75,湖北,2020-03-27,2665
76,湖北,2020-03-28,2293
77,湖北,2020-03-29,2074
78,湖北,2020-03-30,1904
79,湖北,2020-03-31,1827
80,湖北,2020-04-01,1776
81,湖北,2020-04-02,1731
82,湖北,2020-04-03,1678
83,湖北,2020-04-04,1602
84,湖北,2020-04-05,1532
85,湖北,2020-04-06,1473
86,湖北,2020-04-07,1403
87,湖北,2020-04-08,1356
88,湖北,2020-04-09,1306
89,湖北,2020-04-10,1277
90,湖北,2020-04-11,1260
91,湖北,2020-04-12,1201
92,湖北,2020-04-13,1176
93,湖北,2020-04-14,1137
94,湖北,2020-04-15,1104
95,湖北,2020-04-16,129
96,湖北,2020-04-17,122
97,湖北,2020-04-18,109
98,湖北,2020-04-19,105
99,湖北,2020-04-20,102
100,湖北,2020-04-21,97
101,湖北,2020-04-22,69
102,湖北,2020-04-23,47
103,湖北,2020-04-24,23
104,湖北,2020-04-25,12
105,湖北,2020-04-26,0
106,湖北,2020-05-09,1
107,湖北,2020-05-10,6
108,湖北,2020-05-18,7
109,湖北,2020-05-24,6
110,湖北,2020-05-26,5
111,湖北,2020-05-29,4
112,湖北,2020-05-31,3
113,湖北,2020-06-04,0
114,北京,2020-01-19,2
115,北京,2020-01-24,1
116,北京,2020-01-25,0
117,北京,2020-01-26,3
118,北京,2020-01-27,5
119,北京,2020-01-28,8
120,北京,2020-01-30,14
121,北京,2020-01-31,17
122,北京,2020-02-01,19
123,北京,2020-02-02,26
124,北京,2020-02-03,27
125,北京,2020-02-05,30
126,北京,2020-02-06,32
127,北京,2020-02-08,33
128,北京,2020-02-09,34
129,北京,2020-02-11,35
130,北京,2020-02-12,36
131,北京,2020-02-13,37
132,北京,2020-06-13,41
133,北京,2020-06-14,48
134,北京,2020-06-15,49
135,北京,2020-06-16,54
136,北京,2020-06-17,60
137,北京,2020-06-18,65
138,北京,2020-06-19,73
139,北京,2020-06-20,81
140,北京,2020-06-22,84
141,北京,2020-06-23,85
142,北京,2020-06-24,89
143,北京,2020-06-25,90
144,北京,2020-06-26,92
145,北京,2020-06-27,96
146,北京,2020-06-28,98
147,北京,2020-06-29,99
148,北京,2020-06-30,102
149,广东,2020-01-19,1
150,广东,2020-01-20,9
151,广东,2020-01-21,14
152,广东,2020-01-22,15
153,广东,2020-01-23,13
154,广东,2020-01-24,18
155,广东,2020-01-25,25
156,广东,2020-01-26,34
157,广东,2020-01-27,45
158,广东,2020-01-28,59
159,广东,2020-01-29,82
160,广东,2020-01-30,106
161,广东,2020-01-31,166
162,广东,2020-02-01,191
163,广东,2020-02-02,221
164,广东,2020-02-03,259
165,广东,2020-02-04,276
166,广东,2020-02-05,298
167,广东,2020-02-06,312
168,广东,2020-02-07,320
169,广东,2020-02-08,325
170,广东,2020-02-09,322
171,广东,2020-02-10,319
172,广东,2020-02-11,320
173,广东,2020-02-12,310
174,广东,2020-02-13,306
175,广东,2020-02-14,302
176,广东,2020-02-15,299
177,广东,2020-02-16,282
178,广东,2020-02-17,262
179,广东,2020-02-18,251
180,广东,2020-02-19,232
181,广东,2020-02-20,215
182,广东,2020-02-21,193
183,广东,2020-02-22,188
184,广东,2020-02-23,177
185,广东,2020-02-24,165
186,广东,2020-02-25,152
187,广东,2020-02-26,143
188,广东,2020-02-27,133
189,广东,2020-03-01,94
190,广东,2020-03-02,82
191,广东,2020-03-03,73
192,广东,2020-03-05,56
193,广东,2020-03-07,46
194,广东,2020-03-08,41
195,广东,2020-03-09,33
196,广东,2020-03-10,27
197,广东,2020-03-11,22
198,广东,2020-03-13,19
199,广东,2020-03-14,18
200,广东,2020-03-15,13
201,广东,2020-03-17,11
202,广东,2020-03-18,7
203,广东,2020-03-20,4
204,广东,2020-03-22,3
205,广东,2020-03-23,0
206,广东,2020-03-31,1
